Marke,Modell,Beschreibung,Gewicht
Mercedes,Atego 1018 4x2,"Einzelkabine, Diffsperre, nur Fahrgestell inkl. Fahrer und Tank halb voll, orig. Bereifung 235/75/17.5",3800
Mercedes,1120 AF,"Feuerwehr-Allrad, nach Abbau der FW-Kabine: Fahrgestell ohne Aufbau, ohne Ersatzrad, mit Serienbereifung",4440
Mercedes,1120 AF 4x4,"3640 mm Radstand, kurze Schweizer DOKA, leerer 4-m-Aluisokofferaufbau von SIL 131 inkl. Fenster und Dachluke, absenkbarer Reserveradhalter, 150 l Diesel im 300-l-PE-Tank, Actros-UFS, 2x PE-Unterbaukästen, 5x 12.00R20 auf Lemmerz-Sprengringfelgen. GG 6,5 t (Fahrgestell ohne Reserverad 4,95 t)",4950
Mercedes,1124,"Radstand 3,6 m, kurze Doka und Koffer, 14,5R20, 90 l Diesel, ohne E-Rad, 6200 kg (Papiere=gewogen); Leergewicht fertig ausgebaut 8100 kg",6200
Mercedes,1124AF,"Bj. 1992, kurzes Fahrerhaus, Radstand 3640 mm, Einzelreifen 385/65R22.5, neue Parabelfedern vo und hi, Tank 120 l, ohne Ersatzrad, ohne Aufbau. HA 1350 kg",4510
Mercedes,1317,"Radstand 3640 mm, kurzes FH, 100 l Diesel, Trapezfedern, 14.5er Reifen auf MB-Sprengringfelgen, Reserverad, ohne Aufbau",4940
Mercedes,1617,"nur Fahrgestell, 3.20 Radstand, mit 14.00",6000
Mercedes,1217,nur Fahrgestell mit Single-Bereifung,5500
Mercedes,1217A,"nur Fahrgestell mit hydraulischer Winde (5 t/10 t), original Zwillingsbereifung, mit fast leerem Tank",5700
Mercedes,1317 LK/LN2,"3,60 m Radstand auf 13.00 Single-Bereifung inkl. Zwischenrahmen (Federlagerung)",4960
Mercedes,1317 LK/LN2,"3,60 m Radstand auf Originalbereifung, noch ohne Aufbau, ohne Zwischenrahmen, leerer 90-l-Diesel",4360
Mercedes,1317 AK LK/LN2,"3,10 m Radstand auf 12R22.5 Einzelbereifung, reines Fahrgestell ohne Ersatzrad, fast leerer Tank",4420
Mercedes,1222,"nur Fahrgestell, mittleres Haus, mit Zwillingsbereifung",5800
